,image_name,extracted_text,actual text,Label,Target
88,X348_538.jpg," 
","Got such a huge audience reaction, the writers kept them as a couple. Jessica Capshaw was only supposed to be in 3 episodes of ""Grey's Anatomy"".",Not Hateful,Targeted Individual
89,X348_221.jpg,"Ria
",,,
90,X348_112.jpg,,,,
91,X348_664.jpg," 
",I still don't know who my child's real dad is. I had tickets booked for my ex and me to sneak away.,Not Hateful,
92,X348_372.jpg,"_ |
7
@ Wt oO
",4+4=?,Not Hateful,Targeted Individual
93,X348_388.jpg," 
",Chicken feeding machine broke. Car key broke off while in the ignition,Not Hateful,Targeted Individual
94,X348_478.jpg," 
",,Hateful,Targeted Individual
95,X348_193.jpg," 
","Lowest price yet. $170 off, makes smoothies in 45 seconds",Not Hateful,
96,X348_374.jpg," 
",Cardboard beds,Not Hateful,Targeted Individual
97,X348_368.jpg," 
","BMI doesn't tell you what I
can do. It doesn't tell you
what I can do on the field.
",Hateful,Targeted Individual
98,X348_745.jpg,,Moving on after I break up with you is cheating.,Not Hateful,Targeted Individual
99,X348_506.jpg,"‘B
1h
hia

i

in
",It's saved me thousands over the years...,Not Hateful,Targeted Individual
100,X348_412.jpg," 
","There's an actual axe murderer in my family tree. I can't believe I was in a relationship with my half-brother.
",Hateful,Targeted Individual
101,X348_91.jpg," 
",,Hateful,Targeted Individual
102,X348_9.jpg," 
","If I'd known better, I would have never married him.
No one tells you that marriage is not about love.

",Hateful,Targeted Individual
103,X348_101.jpg,,"Which one of you!?
",Hateful,Targeted Individual
104,X348_651.jpg," 
","I'm applying to your camera persons.
Hahaheed lights and
creative angles Can handle that",Not Hateful,Targeted Organization
105,X348_382.jpg," 
","She was super shy in high school and then became a famous food personality.

So many people from my hometown became big influencers. They were all super cocky.",Hateful,Targeted Individual
106,X348_37.jpg," 

“3 si ae

gree eS
Troe)

 
","""I have experienced a lot of pushback.
I've experienced a lot of loss.""",Hateful,Targeted Individual
107,X348_340.jpg," 
","""called out prince william for saying horrible things about meghan markle""
""Theresia part of me that will love Stacy forever. And a part of me that would be justified if I never saw her again for the best of my life""",Hateful,Targeted Individual
108,X348_435.jpg," 
",Petty revenge on a bad parker,Not Hateful,Targeted Individual
109,X348_529.jpg," 
","

""I found this in the walls of my house...""


""Why is there a man crawling in the street?""",Hateful,Targeted Organization
110,X348_177.jpg," 
","I'm very privileged to live the way I do, but I still can't afford what older generations were able to at my age.",Not Hateful,Targeted Society
111,X348_186.jpg,"Eat
","""I thought Americans ate pizza every Friday. That's why I wanted to visit.""
""I was shocked that the American southern accent is real and not just made up for TV.""",Hateful,Targeted Society
112,X348_642.jpg," 
","""My mother told me that she'd know when I started having sex, because, 'virgins have a special glow And I believed her.""",Not Hateful, Targeted Individual
113,X348_720.jpg," 
",,Hateful,
114,X348_468.jpg,"D)

Snei
i

st
ee tt

 
","Hugging
Eating bananas",Hateful,Targeted Socity 
115,X348_117.jpg," 

RCo ie To ao
Cari rs

 
","If we still lived in the States, we would have been bankrupt.",Not Hateful, Targeted Society
116,X348_81.jpg," 
","Sunscreen is the single most important skincare product
""Natural"" exfoliants are too rough for your face",Hateful, Targeted Society
117,X348_684.jpg," 
","""Killed by her scarf,""
A dingo actually did eat her baby",Not Hateful, Targeted Society
118,X348_390.jpg," 
","Do Not open the
attic under any
Circumstances! Especially
if the light is on thee is
Very Important!",Hateful,Targeted Individual
119,X348_254.jpg,,"The ""congrats, it's a boy"" was met with shock
instead of excitement",Not Hateful,Targeted Individual
120,X348_381.jpg," 
","I'm tired of Barbie marketing
Aman: I'm tired of Barbie marketing too
Me: First of all how dare you",Hateful,Targeted Individual
121,X348_393.jpg," 
","means they want attention
fed dead zoo animals",Hateful,Targeted Organization
122,X348_424.jpg," 
",My song of the winter is...,Not Hateful,Targeted community
123,X348_481.jpg," 
","Won't quit after 2 days, weeks, or months
Works hard and takes pride in their work
Cares about the job and doesn't think they're doing a favor by working here
Can take a joke and won't whine every day
Self-motivated
Able to work some holidays and weekends",Hateful,Targeted Individual
124,X348_401.jpg,"‘once THE F000 8
{GvEITTOVOU
ve aseACULTAETT
FROM ou
SE NO REFUNDS,
{WE SAUNT
WORK FORUS

 
","ONCE THE FOOD IS
GIVE IT TO YOU
IF A SEAGULL TAKE IT
FROM YOU
ALL BE NO REFUNDS
THE SEAGULLS DON'T
WORK FOR US
SORRY FOR THE",Not Hateful,Targeted Individual
125,X348_444.jpg," 
","pesto 
tomato",Hateful,Targeted Individual
126,X348_276.jpg,"a
","Now that i am older i have the money, patience, and time to give my kids 
a better version of me 20 years ago . No regret.",Not Hateful,Targeted Individual
127,X348_46.jpg," 

Dine

ma s
ie: 01 eS,

1 Ping aad
i ats st that
i ed

fo Before

 

  
","""wtf does this mean"" and ""don't do this.""",Not Hateful,Targeted Individual
128,X348_319.jpg," 
","""Used to be free. Now it's $20""
""I bought these for work. Now it's a fashion trend?!""",Hateful,Targeted Individual
129,X348_455.jpg," 
","1924
2024",Not Hateful,Targeted community
130,X348_574.jpg," 
","But you make my blood pump
everytime I see you, yoh make my
natural instincts kick in or
something.",Hateful,Targeted Individual
131,X348_561.jpg,"ey

Fire one guy nthe)
wore thet doese't
ond unsolicited
Jom pics but m
lasrespectul | Z
ont gett Fmre Zp
{good dude on many

levels. But Fam it

 
","The one guy in the
world that doesn't
send unsolicited
d
pics but I'm
disrespectful.",Hateful,Targeted Individual
132,X348_563.jpg," 
",,Hateful,
133,X348_719.jpg,,,,
134,X348_314.jpg," 
","I once broke up with a guy because he said John Mayer is the greatest musician of our generation.

",Not Hateful,Targeted Individual
135,X348_467.jpg," 
","""If only she knew what the girl looked like at your bachelor party that you were in bed with, she would understand how big of a catch she is...""",Hateful,Targeted Individual
136,X348_530.jpg,,"""I feel cast aside.""

""The joy of acting is gone.""


",Hateful,Targeted Individual
137,X348_127.jpg," 
","Eating stinky food in an enclosed space
Not putting a shopping cart back",Hateful,
138,X348_140.jpg," 
",can you come in after the funeral?,Hateful,
139,X348_713.jpg," 
","New $20 bills
Old $20 bills .A brand new clog vs. a 4-year-old clog







",Not Hateful,
140,X348_284.jpg," 
","""A man wearing a kilt and playing bagpipes ran in front of the car, chasing after a small hedgehog!""
 ""Two squirrels were fighting with two magpies over a slice of pizza...""",,
141,X348_419.jpg,"Rae ad
","How many triangles?

لا

IQ = genius

a. 14 b. 18 c. 24",Hateful,
142,X348_387.jpg,"ip BB LR,
if view Lookine

(ee

 
","VIEW WHEN YOU WALK IN
VIEW LOOKING OUT OF THE WINDOW",Not Hateful,
143,X348_695.jpg," 
","""was mistaken for Serena's umbrella holder""",Not Hateful,Targeted Individual
144,X348_111.jpg," 
","""No one was allowed to swim in the swimming pool because it was 'only for decoration.'""",Hateful,Targeted Organization 
145,X348_55.jpg,,"After I took this photo I realized that there was someone waiting for me at the end of the road.


An unusual view of home.",Not Hateful,Targeted Individual
146,X348_317.jpg," 
","""My father passed away, and my ex said that sending him nudes would make me feel better.""

""I was pregnant, and he said, ""next one better be mine.""""",Not Hateful,Targeted Individual
147,X348_145.jpg,"   

aN
Gis)
morning;l/eharged
Groans?
iene te
‘sald; (Get out of that
Cocoa iduce

    
      
     

 

  
 
","The following morning, I charged my phone, and my friends called. They said, 'Get out of that house right now!
",Not Hateful,Targeted Individual
148,X348_658.jpg," 
",Never ask for a refund ,Hateful,Targeted Organization
149,X348_135.jpg," 
","I remembered people's voices around me, but not faces.


It felt like everyone was trying to hold me down and suffocate me.",Not Hateful,Targeted Individual
150,X348_23.jpg,,a couple.....of bestie ,Hateful,Targeted Individual
151,X348_7.jpg," 
","""When I was 7, I would
climb up storm drains
with barely enough
space for my body.""",Hateful,Targeted Individual
152,X348_434.jpg," 
","The first thing
said to my
surgeon was,
can actually
breathe.

              ""My clothes fit
              better, I don't feel
              weighted down, and
              I can run and jump.""",Not Hateful,Targeted Individual
153,X348_214.jpg," 
",He covers my dad car in dyed tampons,Not Hateful,Targeted Individual
154,X348_699.jpg," 
",I have seen a divorce lawyer about giving up my legal rights to this kids,Hateful,Targeted Individual
155,X348_225.jpg," 
","inexplicable
green children",Not Hateful,Targeted community
156,X348_159.jpg," 
","Recently overheard a couple on a date talking about favorite movies. The guy confidently said he loved ""Rata-Twa."" She responded she had never seen it. He went on to describe it: Rat controls chef, makes great food.

""Ratatouille?"" she asked

""It's actually pronounced Rata- Twa.",Hateful,Targeted Individual
157,X348_464.jpg," 
","I asked him if he does it on purpose and he said, 'Yes, because it makes you happy so if it's something that helps to get you there, why wouldn't I? That's the goal, right?",Not Hateful,Targeted Individual
158,X348_458.jpg," 
",rude,Not Hateful,Targeted Individual
159,X348_28.jpg," 

Giieainantaras
Contapaiaenn
eras

 
","""I have walked into restaurants with a Groupon.""
""My lifestyle hasn't changed, except my anxiety about paying the rent is gone.""",Not Hateful,Targeted organization
160,X348_22.jpg," 
","""I didn't want him to regret his life with me so I left.""
""I was planning to propose to her at Christmas in front of her family because I knew how much her family meant to her.""",Hateful,Targeted Individual
161,X348_645.jpg,"i)

oc Cl
","""HER  HIM""",Hateful,Targeted Individual
162,X348_691.jpg," 
","""The meeting lasted an excruciating two hours.""",Not Hateful,Targeted society
163,X348_677.jpg,"em

@theEmma
Hove when customers at work
be like “compliments to the
chef” like sir we don’t have a
chef that’s Tyler back there ,
he's 17 and stoned out of his
mind been cooking for 3 weeks
but Illtell him

 
","I love when customers at work be like ""compliments to the chef"" like sir we don't have a chef that's Tyler back there, he's 17 and stoned out of his mind been cooking for 3 weeks but I'll tell him",Not Hateful,Targeted Individual
164,X348_400.jpg," 
","""Shut Up and Drive""
""Wannabe""",Hateful,Targeted Individual
165,X348_258.jpg," 
","""We have sex once every few months, it's straining on us often, but life is freaking hard man. I miss the spark and spontaneity from the early years
""When we have sex, we get into the swing of it and usually have it every day for like four or so days, but then might not have it again for a few weeks. It comes in ",Not Hateful,Targeted Individual
166,X348_498.jpg," 
","Dropped it too  early    
Looking at the camera in shock",Hateful,Targeted Individual
167,X348_603.jpg,,"Wait a minute... Did the Olympics start...
Where the heck is our Mario & Sonic at the 2024 Paris Olympic Games game!?",Not Hateful,Targeted Organization
168,X348_103.jpg," 
",11%  57%,Hateful,Targeted Individual
169,X348_40.jpg," 
","The diaper service would
pick up your dirty bag of
diapers three times a
week. They should bring
that back.",Not Hateful,Targeted Organization
170,X348_332.jpg," 
","COMPANY POLICIES

SICK DAYS

PERSONAL DAYS

VACATION DAYS",Hateful,Targeted Organization
171,X348_750.jpg," 
","I braced myself and shoulder-    ""Two men in suits, walking
checked him. He was so            side by side, forced me off of
flabbergasted. He stumbled and    the sidewalk and into the snow
looked back in shock. I shrugged  when I was heavily pregnant
and said, ""Yeah, you should       and carrying a toddler. I
move out of the way next time.""   stopped moving after that.",Hateful,Targeted Individual
172,X348_346.jpg," 
","No idea where she hid during the day, but at
night she made.good use of our little nap room.",Not Hateful,Targeted Individual
173,X348_199.jpg," 
",,,
174,X348_310.jpg," 
","Jacob Elordi ate a pound of bacon every day to play Elvis in Priscilla.
Jesse Metcalfe worked out three times a day to star in John Tucker Must Die.",Hateful,Targeted Individual
175,X348_126.jpg,,The only thing that can stop a bad guy with a gun is a good guy with a gun.,Hateful,Targeted Society
176,X348_142.jpg," 
","I, Ross, take thee, Rachel.",Hateful,Targeted Individual
177,X348_631.jpg," 
","My dad was my mom's high school teacher.
We think my dad was planning on killing my mom and I.",Hateful,Targeted Individual
178,X348_532.jpg," 
",I guess the medals are meant to be in cases. Not meant for the send,Not Hateful,Targeted Community
179,X348_169.jpg," 
","Our friend joined our relationship. Then we all broke up, but they got engaged.""
""My husband and I were in a secret throuple. We told everyone she was just our friend.""",Hateful,Targeted Individual
180,X348_194.jpg," 
 
 

Roa
Berea
rat ea
oe
paar
Plover nol
","""I'm a big believer in karma.""
""I'm not a fan of revenge, but I do believe in karma.""
""Karma is a bitch.""",Not Hateful,Targeted Individual
181,X348_663.jpg,"SU ure

  
","ange's photo dump me & the social experiment @angelinebarion yup, that one!",Not Hateful,Targeted Individual
182,X348_180.jpg," 
",redofing the same story being told with different characters,Hateful,Targeted Society
183,X348_104.jpg," 
","Carrie Fisher doing a beach themed Return of the Jedi photo shoot for Rolling Stone
This is what Marilyn Monroe looks like with her natural hair color",Not Hateful,Targeted Individual
184,X348_24.jpg," 
","40% OFF
30% off Tik Tok-famous sauce
Japanese Barbecue Sauce
Bachan's Japanese BBQ Sauce",Not Hateful,Targeted Organization
185,X348_155.jpg," 
","let's just not
comment on it",Not Hateful,
186,X348_88.jpg,,"Come November , Call me Michel ",Hateful,Targeted Individual
187,X348_465.jpg,,"BROTHERS-IN-LAW
SISTERS",Not Hateful,Targeted 
188,X348_64.jpg," 

 

i
","About five minutes after being hired, I introduced myself, and he said, 'Why should I care?",Hateful,Targeted Individual
189,X348_352.jpg," 
","He said, ""We got our Always spending down to requested $2 million this year!",Not Hateful,Targeted Organization
190,X348_287.jpg," 
","A scan of a face with years of dermal filter buildup.

Watermelon from hell.",Not Hateful,Targeted society
191,X348_326.jpg," 
","""If you want to keep loving your body, you know who to vote for.""",Not Hateful,Targeted Individual
192,X348_702.jpg,,"The best advice I ever received was from my mom. It seems simple, but now it puts things into perspective.",Hateful,Targeted Individual
193,X348_575.jpg," 
","""I hate my 30-year-old neighbor. We share a property line. I planted a row of lilac bushes almost 25 years ago, and he wants me to take them out because he says 'they block the sun' from his garden.""
""For our last assignment, we had to write a script. My group partner didn't like the one I wrote, so I asked him to write one because I didn't have time to re-write. That jerk wrote characters based on us!""",Not Hateful,Targeted Individual
194,X348_502.jpg," 
","During our divorce, the DNA proved two of my three children were not my ex's biological sons.",Not Hateful,Targeted Individual
195,X348_255.jpg," 
",They were soooo uninvolved in their daughter's life.,Hateful,Targeted Individual
196,X348_281.jpg,"       

Te es
rrr trey
Cease ay
pant perceagh verkeqeecbaachiear} dado

  
","""If they ask you what you do for self-care. This is a signal that they see work/life balance as important and want you to be self-aware about your mental health.""",Not Hateful,Targeted Individual
197,X348_138.jpg," 
",The house that didn't exist,Hateful,Targeted Individual
198,X348_650.jpg,,"""Lmao nah you know what? Fu
this I quit""",Not Hateful,
199,X348_582.jpg," 
","""My cat had been
outside for a week with
no food or water.""

""Came back to an
empty apartment and
my number blocked.""",Not Hateful,Targeted Individual
200,X348_207.jpg," 
","""you're a certified vibe""",Hateful,Targeted Individual
201,X348_100.jpg," 
","""A nurse offered to take my
baby to the nursery so I could
sleep, but I said no. The next
night I was pretty tired and
asked another nurse if she
could take the baby to the
nursery then. She said they
didn't have one.""

""Glitch in the
matrix""",Not Hateful,Targeted Organization 
202,X348_376.jpg," 
","""In our first lecture, my
professor said, 'I don't believe
in the artificially inflated
grading system, so I grade on
a strict bell curve. No matter
how well everyone does, some
of you are getting an F.'""",Not Hateful,Targeted Students
203,X348_13.jpg," 
","""The fact that he stays
calm when I communicate
my feelings.""",Hateful,Targeted Individual
204,X348_74.jpg," 
","A Court of Thorns and Roses
Sarah J. Maas

2 books that get the credit
1 book that needs more by the author
3 overhyped books",Hateful,
205,X348_669.jpg," 
","""That was at the time he was torturing and killing people in his home",Not Hateful,Targeted Individual
206,X348_323.jpg," 
","""She deserved it more than
the ungrateful children...""",Hateful,Targeted Community
207,X348_667.jpg," 
","I'm crying
35 TIM TORN TEUTENBERG",Not Hateful,
208,X348_644.jpg," 
","""I regret going to
university right
out of high school
without a clear
understanding of
why I was going.""

NOW
WHAT?",Hateful,Targeted Individual
209,X348_507.jpg," 
","""He dumped me
over text two weeks
after my birthday,
so I sent him a list
of everything he did
poorly in bed. It was
a pretty long list.""",Hateful,Targeted Individual
210,X348_417.jpg," 
","""The next day, I saw her mugshot on TV.""

""I can still feel his cold hands against my skin.""",Hateful,Targeted Individual
211,X348_447.jpg," 
","""Adam Lambert was the worst. He put his arm on my shoulder and said: Unless you see 1,000 people bother me, stay the f*ck away from me.""

""Snoop Dogg was very chill. He instructed me that only young fans were to ask for autographs-not old adults. He's respectful.""",Not Hateful,Targeted Individual
212,X348_53.jpg," 
","""It's basically
free advertising.""",Hateful,
213,X348_588.jpg,,"""is the hype real?""",Not Hateful,
214,X348_347.jpg,"      

)

iocoreMccc MOO
ion. comacIKOcataayS

 
","""She couldn't reach me for a few
hours, so she called the embassy.""",Not Hateful,
215,X348_354.jpg," 
","""My coworker stumbled upon his Tinder
profile...which said he was 'single'""",Hateful,Targeted Individual
216,X348_154.jpg," 
","""We just bought a house a couple
months ago. With the market the way it
is, we didn't have much time to think
and we panicked.""",Hateful,
217,X348_206.jpg,,"""About Nicki Minaj and Cardi B:

""It was called the 'Icons' party,
but there were no icons there.""",Not Hateful, Targeted Organization 
218,X348_164.jpg," 
","""PICK THE CHEESE
THAT IS MADE
BACKWARDS""

""SWISS""

""CHEBBAR""

""FRAM""",Hateful,
